תאריך,יום,בעלים,ערוץ,טור,לקוח / משימה,דלי,מהלך,מוטיבים,ארכיטיפ,אזור,יום מסלול,מוצר מוביל,SKU,חומר שיווקי,פוטנציאל/שנה,קצב צפוי,מחזור 12ח׳,תה 12ח׳,מאצ'ה 12ח׳,חור מוזה,וואטסאפ,פתיחה,הסגירה,אם מסרבים,למה היום,תוצאה (זכה / לא עכשיו / לא ענה / סירב),תאריך תוצאה
2026-09-07,שני,אבי,שיחה — אבי,שיחה 1,קפה מלבן,T2,מאצ'ה — קו חדש,E1 E3 E4,תה בלבד,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,17602,3674,20572,20572,0,,"היי קפה מלבן, אתם קונים אצלנו תמציות ב-₪20,572 בשנה, ואין לכם מאצ'ה. 21 מתוך 48 המשקאות בקטלוג שלנו הם מאצ'ה או אובה — חצי תפריט שאתם לא מגישים. שקית 500 גרם = 277 מנות, ונשאר לכם ₪22.49 לכוס במקום ₪14.95 על תה קר. להוסיף אחת למשלוח הקרוב? כן/לא","אתם אצלנו על ₪20,572 תמציות בשנה — לקוח טוב. אבל אין לכם מאצ'ה, ו-21 מתוך 48 המשקאות בקטלוג שלנו בנויים עליה. חצי מהתפריט שאני יכול לתת לכם פשוט לא נמצא אצלכם על הדלפק.","אני מוסיף שקית מאצ'ה שיזואוקה 500 גרם למשלוח הקרוב — ₪590, 277 מנות, ₪2.13 מאצ'ה לכוס. במחיר תפריט ₪28 השקית מחזירה ₪7,756. אותה עגלה, אותו מקרר. ומקציף ב-₪100 אם אין לכם — בלעדיו זה גושים.",,מאצ'ה — קו חדש,,
2026-09-07,שני,אבי,שיחה — אבי,שיחה 1,דנדי,T2,מאצ'ה — קו חדש,E1 E3 E4,מעורב,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,14692,2947,26986,21571,0,,"היי דנדי, אתם קונים אצלנו תמציות ב-₪21,571 בשנה, ואין לכם מאצ'ה. 21 מתוך 48 המשקאות בקטלוג שלנו הם מאצ'ה או אובה — חצי תפריט שאתם לא מגישים. שקית 500 גרם = 277 מנות, ונשאר לכם ₪22.49 לכוס במקום ₪14.95 על תה קר. להוסיף אחת למשלוח הקרוב? כן/לא","אתם אצלנו על ₪21,571 תמציות בשנה — לקוח טוב. אבל אין לכם מאצ'ה, ו-21 מתוך 48 המשקאות בקטלוג שלנו בנויים עליה. חצי מהתפריט שאני יכול לתת לכם פשוט לא נמצא אצלכם על הדלפק.","אני מוסיף שקית מאצ'ה שיזואוקה 500 גרם למשלוח הקרוב — ₪590, 277 מנות, ₪2.13 מאצ'ה לכוס. במחיר תפריט ₪28 השקית מחזירה ₪7,756. אותה עגלה, אותו מקרר. ומקציף ב-₪100 אם אין לכם — בלעדיו זה גושים.",,מאצ'ה — קו חדש,,
2026-09-07,שני,אלכס+אבי,פגישה — אלכס + אבי,פגישה משותפת,סטקיית הבוקרים,T1,החזרה,W,מעורב,צפון,שלישי,סנגריה ורודה 1ל׳ ₪45,GTCC-PIN-SAN-1L,"— שיחת הקשבה, לא פיץ׳",19698,7879,1284,0,0,24728,"היי סטקיית הבוקרים, לא ראינו הזמנה כבר 62 ימים והקצב שלכם היה כל 39. רציתי לוודא שהכל בסדר — ומה חסר כדי לחזור. אם זה בגלל מוזה שירדה, יש לנו במה להחליף.","62 ימים בלי הזמנה, כשהקצב שלכם היה כל 39. לא באתי למכור — באתי להבין מה נשבר.","מה שחסר, אני מכניס למשלוח הקרוב. אם זה מוזה — יש סנגריה ורודה ויש תרכיז שעובד כבסיס קוקטייל. אם זה משהו אחר, תגיד לי מה.",,החזרת חשבון — הפסיק גם מוזה וגם תה,,
2026-09-07,שני,תום,וואטסאפ — תום,וואטסאפ 1,"הרואה בקפה בע""מ",T3,החזרה,W E3 E4,מעורב,צפון,שלישי,סנגריה ורודה 1ל׳ ₪45,GTCC-PIN-SAN-1L,"— שיחת הקשבה, לא פיץ׳",14923,3728,14578,10413,2360,13200,"היי הרואה בקפה בע""מ, לא ראינו הזמנה כבר 42 ימים והקצב שלכם היה כל 17. רציתי לוודא שהכל בסדר — ומה חסר כדי לחזור. אם זה בגלל מוזה שירדה, יש לנו במה להחליף.","42 ימים בלי הזמנה, כשהקצב שלכם היה כל 17. לא באתי למכור — באתי להבין מה נשבר.","מה שחסר, אני מכניס למשלוח הקרוב. אם זה מוזה — יש סנגריה ורודה ויש תרכיז שעובד כבסיס קוקטייל. אם זה משהו אחר, תגיד לי מה.",,החזרת חשבון,,
2026-09-07,שני,תום,וואטסאפ — תום,וואטסאפ 1,"סינמה טייק וואן בע""מ (קפה טופול)",T3,החזרה,W E1 E3,מעורב,מרכז,ראשון/שני/חמישי,סנגריה ורודה 1ל׳ ₪45,GTCC-PIN-SAN-1L,"— שיחת הקשבה, לא פיץ׳",5391,1045,6117,4478,0,3366,"היי סינמה טייק וואן בע""מ (קפה טופול), לא ראינו הזמנה כבר 53 ימים והקצב שלכם היה כל 29. רציתי לוודא שהכל בסדר — ומה חסר כדי לחזור. אם זה בגלל מוזה שירדה, יש לנו במה להחליף.","53 ימים בלי הזמנה, כשהקצב שלכם היה כל 29. לא באתי למכור — באתי להבין מה נשבר.","מה שחסר, אני מכניס למשלוח הקרוב. אם זה מוזה — יש סנגריה ורודה ויש תרכיז שעובד כבסיס קוקטייל. אם זה משהו אחר, תגיד לי מה.",,החזרת חשבון,,
2026-09-07,שני,תום,וואטסאפ — תום,וואטסאפ 1,איטאלי,T3,החזרה,W,מעורב,מרכז,ראשון/שני/חמישי,סנגריה ורודה 1ל׳ ₪45,GTCC-PIN-SAN-1L,"— שיחת הקשבה, לא פיץ׳",2555,767,159,0,0,3208,"היי איטאלי, לא ראינו הזמנה כבר 103 ימים והקצב שלכם היה כל 90. רציתי לוודא שהכל בסדר — ומה חסר כדי לחזור. אם זה בגלל מוזה שירדה, יש לנו במה להחליף.","103 ימים בלי הזמנה, כשהקצב שלכם היה כל 90. לא באתי למכור — באתי להבין מה נשבר.","מה שחסר, אני מכניס למשלוח הקרוב. אם זה מוזה — יש סנגריה ורודה ויש תרכיז שעובד כבסיס קוקטייל. אם זה משהו אחר, תגיד לי מה.",,החזרת חשבון,,
2026-09-07,שני,תום,וואטסאפ — תום,וואטסאפ 1,ג'חנון בכפר (פופ אפ בייקרי),T3,החזרה,W,מעורב,מרכז,ראשון/שני/חמישי,סנגריה ורודה 1ל׳ ₪45,GTCC-PIN-SAN-1L,"— שיחת הקשבה, לא פיץ׳",701,210,,0,0,880,"היי ג'חנון בכפר (פופ אפ בייקרי), לא ראינו הזמנה כבר 74 ימים והקצב שלכם היה כל 270. רציתי לוודא שהכל בסדר — ומה חסר כדי לחזור. אם זה בגלל מוזה שירדה, יש לנו במה להחליף.","74 ימים בלי הזמנה, כשהקצב שלכם היה כל 270. לא באתי למכור — באתי להבין מה נשבר.","מה שחסר, אני מכניס למשלוח הקרוב. אם זה מוזה — יש סנגריה ורודה ויש תרכיז שעובד כבסיס קוקטייל. אם זה משהו אחר, תגיד לי מה.",,החזרת חשבון,,
2026-09-07,שני,תום,וואטסאפ — תום,וואטסאפ 1,"אסייתית באשדוד בע""מ Sazanca",T3,מאצ'ה — עומק,E2 E3 E4,תה בלבד,דרום,רביעי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי,20838,2885,15258,12078,1060,,"היי אסייתית באשדוד בע""מ Sazanca, אתם על ₪1,060 מאצ'ה בשנה. בתי עסק בגודל שלכם על ₪5,460. הפער הוא בערך 2065 מנות בשנה שלא יוצאות מהדלפק. להעלות את הכמות הקבועה במשלוח? כן/לא","מאצ'ה עובדת אצלכם — ₪1,060 בשנה. הסיבה שאני מתקשר היא שבתי עסק בגודל שלכם על ₪5,460, וההפרש הזה הוא בדרך כלל לא ביקוש, אלא נגמר באמצע שבוע.","אני מעלה את הכמות הקבועה במשלוח. אותה עגלה, בלי שינוי אחר בהזמנה — רק שלא ייגמר לכם ברביעי.",,מאצ'ה,,
2026-09-07,שני,תום,וואטסאפ — תום,וואטסאפ 1,"בית העם קונדיטוריה ויין בע""מ",T3,מאצ'ה — קו חדש,E1 E3 E4,תה בלבד,דרום,רביעי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,13668,1537,17335,17335,0,,"היי בית העם קונדיטוריה ויין בע""מ, אתם קונים אצלנו תמציות ב-₪17,335 בשנה, ואין לכם מאצ'ה. 21 מתוך 48 המשקאות בקטלוג שלנו הם מאצ'ה או אובה — חצי תפריט שאתם לא מגישים. שקית 500 גרם = 277 מנות, ונשאר לכם ₪22.49 לכוס במקום ₪14.95 על תה קר. להוסיף אחת למשלוח הקרוב? כן/לא","אתם אצלנו על ₪17,335 תמציות בשנה — לקוח טוב. אבל אין לכם מאצ'ה, ו-21 מתוך 48 המשקאות בקטלוג שלנו בנויים עליה. חצי מהתפריט שאני יכול לתת לכם פשוט לא נמצא אצלכם על הדלפק.","אני מוסיף שקית מאצ'ה שיזואוקה 500 גרם למשלוח הקרוב — ₪590, 277 מנות, ₪2.13 מאצ'ה לכוס. במחיר תפריט ₪28 השקית מחזירה ₪7,756. אותה עגלה, אותו מקרר. ומקציף ב-₪100 אם אין לכם — בלעדיו זה גושים.",,מאצ'ה,,
2026-09-07,שני,תום,וואטסאפ — תום,וואטסאפ 1,"אוטוטו (קפה בגרונימן 8 בע""מ)",T3,מאצ'ה — קו חדש,E1 E3 E4,תה בלבד,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,13308,1483,21250,20460,0,,"היי אוטוטו (קפה בגרונימן 8 בע""מ), אתם קונים אצלנו תמציות ב-₪20,460 בשנה, ואין לכם מאצ'ה. 21 מתוך 48 המשקאות בקטלוג שלנו הם מאצ'ה או אובה — חצי תפריט שאתם לא מגישים. שקית 500 גרם = 277 מנות, ונשאר לכם ₪22.49 לכוס במקום ₪14.95 על תה קר. להוסיף אחת למשלוח הקרוב? כן/לא","אתם אצלנו על ₪20,460 תמציות בשנה — לקוח טוב. אבל אין לכם מאצ'ה, ו-21 מתוך 48 המשקאות בקטלוג שלנו בנויים עליה. חצי מהתפריט שאני יכול לתת לכם פשוט לא נמצא אצלכם על הדלפק.","אני מוסיף שקית מאצ'ה שיזואוקה 500 גרם למשלוח הקרוב — ₪590, 277 מנות, ₪2.13 מאצ'ה לכוס. במחיר תפריט ₪28 השקית מחזירה ₪7,756. אותה עגלה, אותו מקרר. ומקציף ב-₪100 אם אין לכם — בלעדיו זה גושים.",,מאצ'ה,,
2026-09-07,שני,תום,וואטסאפ — תום,וואטסאפ 1,"א.ר.נ. מסעדות קריית אונו בע""מ (קיסו - Kisu)",T3,מאצ'ה — קו חדש,E1 E3 E4,תה בלבד,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,11509,1561,10248,10248,0,,"היי א.ר.נ. מסעדות קריית אונו בע""מ (קיסו - Kisu), אתם קונים אצלנו תמציות ב-₪10,248 בשנה, ואין לכם מאצ'ה. 21 מתוך 48 המשקאות בקטלוג שלנו הם מאצ'ה או אובה — חצי תפריט שאתם לא מגישים. שקית 500 גרם = 277 מנות, ונשאר לכם ₪22.49 לכוס במקום ₪14.95 על תה קר. להוסיף אחת למשלוח הקרוב? כן/לא","אתם אצלנו על ₪10,248 תמציות בשנה — לקוח טוב. אבל אין לכם מאצ'ה, ו-21 מתוך 48 המשקאות בקטלוג שלנו בנויים עליה. חצי מהתפריט שאני יכול לתת לכם פשוט לא נמצא אצלכם על הדלפק.","אני מוסיף שקית מאצ'ה שיזואוקה 500 גרם למשלוח הקרוב — ₪590, 277 מנות, ₪2.13 מאצ'ה לכוס. במחיר תפריט ₪28 השקית מחזירה ₪7,756. אותה עגלה, אותו מקרר. ומקציף ב-₪100 אם אין לכם — בלעדיו זה גושים.",,מאצ'ה,,
2026-09-07,שני,תום,וואטסאפ — תום,וואטסאפ 1,"ENSō - אסייתית במודיעין בע""מ (אנזו)",T3,מאצ'ה — קו חדש,E1 E3 E4,תה בלבד,דרום,רביעי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,9195,1214,8052,8052,0,,"היי ENSō - אסייתית במודיעין בע""מ (אנזו), אתם קונים אצלנו תמציות ב-₪8,052 בשנה, ואין לכם מאצ'ה. 21 מתוך 48 המשקאות בקטלוג שלנו הם מאצ'ה או אובה — חצי תפריט שאתם לא מגישים. שקית 500 גרם = 277 מנות, ונשאר לכם ₪22.49 לכוס במקום ₪14.95 על תה קר. להוסיף אחת למשלוח הקרוב? כן/לא","אתם אצלנו על ₪8,052 תמציות בשנה — לקוח טוב. אבל אין לכם מאצ'ה, ו-21 מתוך 48 המשקאות בקטלוג שלנו בנויים עליה. חצי מהתפריט שאני יכול לתת לכם פשוט לא נמצא אצלכם על הדלפק.","אני מוסיף שקית מאצ'ה שיזואוקה 500 גרם למשלוח הקרוב — ₪590, 277 מנות, ₪2.13 מאצ'ה לכוס. במחיר תפריט ₪28 השקית מחזירה ₪7,756. אותה עגלה, אותו מקרר. ומקציף ב-₪100 אם אין לכם — בלעדיו זה גושים.",,מאצ'ה,,
2026-09-07,שני,תום,וואטסאפ — תום,וואטסאפ 1,דלגונה עבד גלגולי (דלגונה),T3,מאצ'ה — עומק,E2 E4 E5,ספיישלטי,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי,8896,1304,16320,0,2120,,"היי דלגונה עבד גלגולי (דלגונה), אתם על ₪2,120 מאצ'ה בשנה. בתי עסק בגודל שלכם על ₪5,460. הפער הוא בערך 1568 מנות בשנה שלא יוצאות מהדלפק. להעלות את הכמות הקבועה במשלוח? כן/לא","מאצ'ה עובדת אצלכם — ₪2,120 בשנה. הסיבה שאני מתקשר היא שבתי עסק בגודל שלכם על ₪5,460, וההפרש הזה הוא בדרך כלל לא ביקוש, אלא נגמר באמצע שבוע.","אני מעלה את הכמות הקבועה במשלוח. אותה עגלה, בלי שינוי אחר בהזמנה — רק שלא ייגמר לכם ברביעי.",,מאצ'ה,,
2026-09-07,שני,תום,משימת מערכת,משימת מערכת,דף ציוד לאבקות — לאשר,—,—,,,,,,,,,,,,,,,,,,נבנה 31/08. מאצ'ה בלי מקצף = גושים,,
2026-09-08,שלישי,אבי,שיחה — אבי,שיחה 1,קמפאי,T2,מאצ'ה — קו חדש,E1 E3 E4,תה בלבד,דרום,רביעי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,11580,2169,16225,5225,0,,"היי קמפאי, אתם קונים אצלנו תמציות ב-₪5,225 בשנה, ואין לכם מאצ'ה. 21 מתוך 48 המשקאות בקטלוג שלנו הם מאצ'ה או אובה — חצי תפריט שאתם לא מגישים. שקית 500 גרם = 277 מנות, ונשאר לכם ₪22.49 לכוס במקום ₪14.95 על תה קר. להוסיף אחת למשלוח הקרוב? כן/לא","אתם אצלנו על ₪5,225 תמציות בשנה — לקוח טוב. אבל אין לכם מאצ'ה, ו-21 מתוך 48 המשקאות בקטלוג שלנו בנויים עליה. חצי מהתפריט שאני יכול לתת לכם פשוט לא נמצא אצלכם על הדלפק.","אני מוסיף שקית מאצ'ה שיזואוקה 500 גרם למשלוח הקרוב — ₪590, 277 מנות, ₪2.13 מאצ'ה לכוס. במחיר תפריט ₪28 השקית מחזירה ₪7,756. אותה עגלה, אותו מקרר. ומקציף ב-₪100 אם אין לכם — בלעדיו זה גושים.",,מאצ'ה — קו חדש,,
2026-09-08,שלישי,אבי,שיחה — אבי,שיחה 1,קפה מרי,T2,מאצ'ה — עומק,E2 E3 E5,תה בלבד,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי,10642,2361,19645,13883,1180,,"היי קפה מרי, אתם על ₪1,180 מאצ'ה בשנה. בתי עסק בגודל שלכם על ₪5,460. הפער הוא בערך 2009 מנות בשנה שלא יוצאות מהדלפק. להעלות את הכמות הקבועה במשלוח? כן/לא","מאצ'ה עובדת אצלכם — ₪1,180 בשנה. הסיבה שאני מתקשר היא שבתי עסק בגודל שלכם על ₪5,460, וההפרש הזה הוא בדרך כלל לא ביקוש, אלא נגמר באמצע שבוע.","אני מעלה את הכמות הקבועה במשלוח. אותה עגלה, בלי שינוי אחר בהזמנה — רק שלא ייגמר לכם ברביעי.",,מאצ'ה — עומק,,
2026-09-08,שלישי,אבי,שיחה — אבי,שיחה 1,בורקס אבא תודה,T2,מאצ'ה — קו חדש,E1 E3 E4,תה בלבד,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,7803,1716,8658,8658,0,,"היי בורקס אבא תודה, אתם קונים אצלנו תמציות ב-₪8,658 בשנה, ואין לכם מאצ'ה. 21 מתוך 48 המשקאות בקטלוג שלנו הם מאצ'ה או אובה — חצי תפריט שאתם לא מגישים. שקית 500 גרם = 277 מנות, ונשאר לכם ₪22.49 לכוס במקום ₪14.95 על תה קר. להוסיף אחת למשלוח הקרוב? כן/לא","אתם אצלנו על ₪8,658 תמציות בשנה — לקוח טוב. אבל אין לכם מאצ'ה, ו-21 מתוך 48 המשקאות בקטלוג שלנו בנויים עליה. חצי מהתפריט שאני יכול לתת לכם פשוט לא נמצא אצלכם על הדלפק.","אני מוסיף שקית מאצ'ה שיזואוקה 500 גרם למשלוח הקרוב — ₪590, 277 מנות, ₪2.13 מאצ'ה לכוס. במחיר תפריט ₪28 השקית מחזירה ₪7,756. אותה עגלה, אותו מקרר. ומקציף ב-₪100 אם אין לכם — בלעדיו זה גושים.",,מאצ'ה — קו חדש,,
2026-09-08,שלישי,אבי,שיחה — אבי,שיחה 1,ביער בייקרי,T2,מאצ'ה — עומק,E2 E5,ספיישלטי,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי,7494,1874,38770,14698,4770,,"היי ביער בייקרי, אתם על ₪4,770 מאצ'ה בשנה. בתי עסק בגודל שלכם על ₪5,460. הפער הוא בערך 323 מנות בשנה שלא יוצאות מהדלפק. להעלות את הכמות הקבועה במשלוח? כן/לא","מאצ'ה עובדת אצלכם — ₪4,770 בשנה. הסיבה שאני מתקשר היא שבתי עסק בגודל שלכם על ₪5,460, וההפרש הזה הוא בדרך כלל לא ביקוש, אלא נגמר באמצע שבוע.","אני מעלה את הכמות הקבועה במשלוח. אותה עגלה, בלי שינוי אחר בהזמנה — רק שלא ייגמר לכם ברביעי.",,מאצ'ה — עומק,,
2026-09-08,שלישי,אבי,משימת מערכת,משימת מערכת,לכידת טלפונים — 10 חשבונות,—,—,,,,,,,,,,,,,,,,,,0 מתוך 153 בשופיפיי,,
2026-09-08,שלישי,תום,וואטסאפ — תום,וואטסאפ 1,"שולה בחצר בע""מ",T3,מאצ'ה — קו חדש,E1 E3 E4,תה בלבד,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,8312,1081,6903,7635,0,,"היי שולה בחצר בע""מ, אתם קונים אצלנו תמציות ב-₪7,635 בשנה, ואין לכם מאצ'ה. 21 מתוך 48 המשקאות בקטלוג שלנו הם מאצ'ה או אובה — חצי תפריט שאתם לא מגישים. שקית 500 גרם = 277 מנות, ונשאר לכם ₪22.49 לכוס במקום ₪14.95 על תה קר. להוסיף אחת למשלוח הקרוב? כן/לא","אתם אצלנו על ₪7,635 תמציות בשנה — לקוח טוב. אבל אין לכם מאצ'ה, ו-21 מתוך 48 המשקאות בקטלוג שלנו בנויים עליה. חצי מהתפריט שאני יכול לתת לכם פשוט לא נמצא אצלכם על הדלפק.","אני מוסיף שקית מאצ'ה שיזואוקה 500 גרם למשלוח הקרוב — ₪590, 277 מנות, ₪2.13 מאצ'ה לכוס. במחיר תפריט ₪28 השקית מחזירה ₪7,756. אותה עגלה, אותו מקרר. ומקציף ב-₪100 אם אין לכם — בלעדיו זה גושים.",,מאצ'ה,,
2026-09-08,שלישי,תום,וואטסאפ — תום,וואטסאפ 1,"מתחם האוכל אפרת בע""מ",T3,מאצ'ה — קו חדש,E1 E3 E4,תה בלבד,דרום,רביעי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,7499,765,5516,5440,0,4886,"היי מתחם האוכל אפרת בע""מ, אתם קונים אצלנו תמציות ב-₪5,440 בשנה, ואין לכם מאצ'ה. 21 מתוך 48 המשקאות בקטלוג שלנו הם מאצ'ה או אובה — חצי תפריט שאתם לא מגישים. שקית 500 גרם = 277 מנות, ונשאר לכם ₪22.49 לכוס במקום ₪14.95 על תה קר. להוסיף אחת למשלוח הקרוב? כן/לא","אתם אצלנו על ₪5,440 תמציות בשנה — לקוח טוב. אבל אין לכם מאצ'ה, ו-21 מתוך 48 המשקאות בקטלוג שלנו בנויים עליה. חצי מהתפריט שאני יכול לתת לכם פשוט לא נמצא אצלכם על הדלפק.","אני מוסיף שקית מאצ'ה שיזואוקה 500 גרם למשלוח הקרוב — ₪590, 277 מנות, ₪2.13 מאצ'ה לכוס. במחיר תפריט ₪28 השקית מחזירה ₪7,756. אותה עגלה, אותו מקרר. ומקציף ב-₪100 אם אין לכם — בלעדיו זה גושים. ואגב — מוזה ירדה אצלנו מהקו. הייתם על ₪4,886 בשנה. יש סנגריה ורודה ויש תרכיז שעובד כבסיס קוקטייל, כשתרצו.",,מאצ'ה,,
